Slow Cooker Chicken and Dumplings
http://allrecipes.com/recipe/8941/slow-cooker-chicken-and-dumplings/
4,,chicken breast halves
2,tbs,butter
2,cn,condensed cream of chicken soup
1,,onion
2,pk,biscuit dough
