Grilled Lime Cilantro Chicken
http://allrecipes.com/recipe/256625/grilled-lime-cilantro-chicken-with-sweet-chili-sauce/
2,,chicken breasts
.25,cp,cilantro
2,tbs,lime juice
1,tbs,soy sauce
1,tbs,olive oil
2,,garlic cloves
.25,cp,sweet chili
1,tsp,cilantro
