Aimee's Quick Chicken
http://allrecipes.com/recipe/25364/aimees-quick-chicken/
4,,chicken breast halves
4,oz,dijon mustard
.25,cp,teriyaki sauce
.25,cp,bacon bits
.5,cp,parmesean cheese
