Salmon Cakes
http://www.foodnetwork.com/recipes/food-network-kitchen/salmon-cakes-with-salad-recipe-2043638
3,7 oz,cans of salmon
1,cp,frozen corn
1,,egg
.5,cp,breadcrumbs
5,tbs,tartar sauce
2,tbs,roasted red peppers
1,tbs,parsley
1,tsp,lemon zest
1,tsp,old bay seasoning
1,tbs,lemon juice
1,tbs,ground pepper
3,tbs,olive oil
8,cp,baby greens
