Alaska Salmon Bake with Pecan Crunch Coating
http://allrecipes.com/recipe/9336/alaska-salmon-bake-with-pecan-crunch-coating/?internalSource=streams&referringId=13290&referringContentType=recipe%20hub&clickId=st_trending_b
6,,salmon fillets
3,tbs,dijon mustard
3,tbs,butter
5,tsp,honey
.5,cp,bread crumbs
.5,cp,pecans
3,tsp,parsley
1,tsp,salt
1,tsp,pepper
1,,lemon
